#ip;descr
10.228.14.1;10.228.*1
10.228.14.2;10.228.*2
10.228.14.3;10.228.*3
10.228.14.4;10.228.*4
10.228.14.5;10.228.*5
10.228.14.6;10.228.*6
10.228.14.7;10.228.*7
10.228.14.8;10.228.*8
10.228.14.9;10.228.*9
10.228.14.10;10.228.*10
10.228.14.11;10.228.*11
10.228.14.12;10.228.*12
10.228.14.13;10.228.*13
10.228.14.14;10.228.*14
10.228.14.15;10.228.*15
10.228.14.16;10.228.*16
10.228.14.17;10.228.*17
10.228.14.18;10.228.*18
10.228.14.19;10.228.*19
10.228.14.20;10.228.*20
10.228.14.21;10.228.*21
10.228.14.22;10.228.*22
10.228.14.23;10.228.*23
10.228.14.24;10.228.*24
10.228.14.25;10.228.*25
10.228.14.26;10.228.*26
10.228.14.27;10.228.*27
10.228.14.28;10.228.*28
10.228.14.29;10.228.*29
10.228.14.30;10.228.*30
10.228.14.31;10.228.*31
10.228.14.32;10.228.*32
10.228.14.33;10.228.*33
10.228.14.34;10.228.*34
10.228.14.35;10.228.*35
10.228.14.36;10.228.*36
10.228.14.37;10.228.*37
10.228.14.38;10.228.*38
10.228.14.39;10.228.*39
10.228.14.40;10.228.*40
10.228.14.41;10.228.*41
10.228.14.42;10.228.*42
10.228.14.43;10.228.*43
10.228.14.44;10.228.*44
10.228.14.45;10.228.*45
10.228.14.46;10.228.*46
10.228.14.47;10.228.*47
10.228.14.48;10.228.*48
10.228.14.49;10.228.*49
10.228.14.50;10.228.*50
10.228.14.51;10.228.*51
10.228.14.52;10.228.*52
10.228.14.53;10.228.*53
10.228.14.54;10.228.*54
10.228.14.55;10.228.*55
10.228.14.56;10.228.*56
10.228.14.57;10.228.*57
10.228.14.58;10.228.*58
10.228.14.59;10.228.*59
10.228.14.60;10.228.*60
10.228.14.61;10.228.*61
10.228.14.62;10.228.*62
10.228.14.63;10.228.*63
10.228.14.64;10.228.*64
10.228.14.65;10.228.*65
10.228.14.66;10.228.*66
10.228.14.67;10.228.*67
10.228.14.68;10.228.*68
10.228.14.69;10.228.*69
10.228.14.70;10.228.*70
10.228.14.71;10.228.*71
10.228.14.72;10.228.*72
10.228.14.73;10.228.*73
10.228.14.74;10.228.*74
10.228.14.75;10.228.*75
10.228.14.76;10.228.*76
10.228.14.77;10.228.*77
10.228.14.78;10.228.*78
10.228.14.79;10.228.*79
10.228.14.80;10.228.*80
10.228.14.81;10.228.*81
10.228.14.82;10.228.*82
10.228.14.83;10.228.*83
10.228.14.84;10.228.*84
10.228.14.85;10.228.*85
10.228.14.86;10.228.*86
10.228.14.87;10.228.*87
10.228.14.88;10.228.*88
10.228.14.89;10.228.*89
10.228.14.90;10.228.*90
10.228.14.91;10.228.*91
10.228.14.92;10.228.*92
10.228.14.93;10.228.*93
10.228.14.94;10.228.*94
10.228.14.95;10.228.*95
10.228.14.96;10.228.*96
10.228.14.97;10.228.*97
10.228.14.98;10.228.*98
10.228.14.99;10.228.*99
10.228.14.100;10.228.*100
10.228.14.101;10.228.*101
10.228.14.102;10.228.*102
10.228.14.103;10.228.*103
10.228.14.104;10.228.*104
10.228.14.105;10.228.*105
10.228.14.106;10.228.*106
10.228.14.107;10.228.*107
10.228.14.108;10.228.*108
10.228.14.109;10.228.*109
10.228.14.110;10.228.*110
10.228.14.111;10.228.*111
10.228.14.112;10.228.*112
10.228.14.113;10.228.*113
10.228.14.114;10.228.*114
10.228.14.115;10.228.*115
10.228.14.116;10.228.*116
10.228.14.117;10.228.*117
10.228.14.118;10.228.*118
10.228.14.119;10.228.*119
10.228.14.120;10.228.*120
10.228.14.121;10.228.*121
10.228.14.122;10.228.*122
10.228.14.123;10.228.*123
10.228.14.124;10.228.*124
10.228.14.125;10.228.*125
10.228.14.126;10.228.*126
10.228.14.127;10.228.*127
10.228.14.128;10.228.*128
10.228.14.129;10.228.*129
10.228.14.130;10.228.*130
10.228.14.131;10.228.*131
10.228.14.132;10.228.*132
10.228.14.133;10.228.*133
10.228.14.134;10.228.*134
10.228.14.135;10.228.*135
10.228.14.136;10.228.*136
10.228.14.137;10.228.*137
10.228.14.138;10.228.*138
10.228.14.139;10.228.*139
10.228.14.140;10.228.*140
10.228.14.141;10.228.*141
10.228.14.142;10.228.*142
10.228.14.143;10.228.*143
10.228.14.144;10.228.*144
10.228.14.145;10.228.*145
10.228.14.146;10.228.*146
10.228.14.147;10.228.*147
10.228.14.148;10.228.*148
10.228.14.149;10.228.*149
10.228.14.150;10.228.*150
10.228.14.151;10.228.*151
10.228.14.152;10.228.*152
10.228.14.153;10.228.*153
10.228.14.154;10.228.*154
10.228.14.155;10.228.*155
10.228.14.156;10.228.*156
10.228.14.157;10.228.*157
10.228.14.158;10.228.*158
10.228.14.159;10.228.*159
10.228.14.160;10.228.*160
10.228.14.161;10.228.*161
10.228.14.162;10.228.*162
10.228.14.163;10.228.*163
10.228.14.164;10.228.*164
10.228.14.165;10.228.*165
10.228.14.166;10.228.*166
10.228.14.167;10.228.*167
10.228.14.168;10.228.*168
10.228.14.169;10.228.*169
